ETER_ID,reference_year,missing_perc,zero_value,c_value,s_value,nc_value,cons_perc,timeillnes_occ
AL,2011,0.45945945945945954,0.1891891891891892,0.0,0.0,0.0,0.2000000000000001,6.0
AL,2012,0.4567567567567568,0.1891891891891892,0.0,0.0,0.0,0.2000000000000001,6.0
AL,2013,0.45789473684210524,0.18421052631578946,0.0,0.0,0.0,0.2000000000000001,5.947368421052632
AL,2014,0.45789473684210524,0.18421052631578946,0.0,0.02631578947368421,0.0,0.2000000000000001,5.947368421052632
AL,2015,0.4700000000000001,0.25,0.0,0.075,0.0,0.2000000000000001,5.75
AL,2016,0.5175,0.375,0.0,0.05,0.0,0.2000000000000001,5.75
AT,2011,0.47941176470588226,3.7058823529411766,0.0,0.014705882352941176,0.0,0.6720588235294119,6.0
AT,2012,0.47941176470588226,3.823529411764706,0.0,0.014705882352941176,0.0,0.6750000000000003,6.0
AT,2013,0.47941176470588226,3.8823529411764706,0.0,0.014705882352941176,0.0,0.6779411764705886,6.0
AT,2014,0.45507246376811544,3.898550724637681,0.0,0.028985507246376812,0.0,0.7043478260869571,5.956521739130435
AT,2015,0.47536231884057967,3.8115942028985508,0.0,0.014492753623188406,0.0,0.6855072463768119,5.956521739130435
AT,2016,0.47536231884057967,4.057971014492754,0.0,0.014492753623188406,0.0,0.6826086956521742,5.956521739130435
BE,2011,0.7927536231884056,0.2318840579710145,0.0,0.08695652173913043,0.0,0.4666666666666666,5.420289855072464
BE,2012,0.415942028985507,0.13043478260869565,0.0,0.07246376811594203,0.0,0.44927536231884035,5.420289855072464
BE,2013,0.7765624999999998,0.125,0.0,0.0,0.0,0.4453125000000001,5.8125
BE,2014,0.7921874999999998,0.09375,0.0,0.0,0.0,0.45000000000000007,5.8125
BE,2015,0.7888888888888888,0.06349206349206349,0.0,0.0,0.0,0.43968253968253973,5.841269841269841
BE,2016,0.7903225806451613,0.016129032258064516,0.0,0.0,0.0,0.44677419354838716,5.790322580645161
BG,2011,0.20192307692307684,1.1538461538461537,1.1538461538461537,0.75,0.0,0.5269230769230769,6.0
BG,2012,0.20192307692307684,1.2115384615384615,1.1538461538461537,0.4807692307692308,0.0,0.5250000000000001,6.0
BG,2013,0.20192307692307684,1.1153846153846154,1.1538461538461537,0.4807692307692308,0.0,0.5326923076923079,6.0
BG,2014,0.20192307692307684,1.1346153846153846,1.1538461538461537,0.46153846153846156,0.0,0.5384615384615385,6.0
BG,2015,0.2480769230769229,1.2884615384615385,1.7307692307692308,0.36538461538461536,0.0,0.5442307692307694,6.0
BG,2016,0.2480769230769229,1.1730769230769231,1.7307692307692308,0.4230769230769231,0.0,0.5500000000000003,6.0
CH,2011,0.012121212121212121,4.151515151515151,0.0,0.09090909090909091,0.0,0.9090909090909091,5.848484848484849
CH,2012,0.011428571428571429,4.142857142857143,0.0,0.14285714285714285,0.0,0.9028571428571429,5.914285714285715
CH,2013,0.011428571428571429,4.228571428571429,0.0,0.11428571428571428,0.0,0.9114285714285715,5.914285714285715
CH,2014,0.017142857142857144,5.428571428571429,0.0,0.11428571428571428,0.0,0.7542857142857146,5.914285714285715
CH,2015,0.011428571428571429,5.514285714285714,0.0,0.08571428571428572,0.0,0.7771428571428576,5.914285714285715
CH,2016,0.011428571428571429,4.0285714285714285,0.0,0.08571428571428572,0.0,0.7771428571428576,5.914285714285715
CY,2011,0.8119999999999998,4.04,0.0,0.8,0.0,0.6839999999999999,5.44
CY,2012,0.7559999999999999,4.36,0.0,0.64,0.0,0.6799999999999998,5.6
CY,2013,0.8639999999999999,4.28,0.0,0.52,0.0,0.7119999999999999,5.48
CY,2014,0.8956521739130434,3.0869565217391304,0.0,0.6521739130434783,0.0,0.7913043478260869,5.782608695652174
CY,2015,0.8153846153846153,2.730769230769231,0.0,0.8846153846153846,0.0,0.746153846153846,5.269230769230769
CY,2016,0.746153846153846,2.576923076923077,0.0,0.5384615384615384,0.0,0.6999999999999998,5.269230769230769
CZ,2011,0.18611111111111114,1.6388888888888888,0.0,0.375,0.0,0.5527777777777776,5.638888888888889
CZ,2012,0.17605633802816906,1.6619718309859155,0.0,0.36619718309859156,0.0,0.5535211267605632,5.76056338028169
CZ,2013,0.16,1.5714285714285714,0.0,0.5142857142857142,0.0,0.587142857142857,5.814285714285714
CZ,2014,0.1845070422535211,1.7464788732394365,0.0,0.0,0.0,0.5887323943661974,5.774647887323944
CZ,2015,0.1676470588235294,1.6323529411764706,0.0,0.38235294117647056,0.0,0.6676470588235296,5.794117647058823
CZ,2016,0.1686567164179104,1.6865671641791045,0.0,0.4626865671641791,0.0,0.6597014925373136,5.746268656716418
DE,2011,0.9959128065395095,3.795640326975477,0.0,0.41689373297002724,0.0,0.9457765667574947,5.885558583106267
DE,2012,0.9722955145118739,3.678100263852243,0.0,0.41424802110817943,0.0,0.9435356200527721,5.8654353562005275
DE,2013,0.9819843342036557,3.587467362924282,0.0,0.40992167101827676,0.0,0.9483028720626644,5.864229765013055
DE,2014,0.9771208226221082,3.5089974293059125,0.0,0.38817480719794345,0.0,0.9401028277634973,5.817480719794345
DE,2015,0.9748717948717951,3.433333333333333,0.0,0.33589743589743587,0.0,0.9405128205128213,5.8
DE,2016,0.9508905852417304,3.577608142493639,0.0,0.3816793893129771,0.0,0.9343511450381687,5.727735368956743
DK,2011,0.14117647058823532,1.4411764705882353,0.0,0.17647058823529413,0.0,0.6647058823529409,5.882352941176471
DK,2012,0.14117647058823532,1.7058823529411764,0.0,0.29411764705882354,0.0,0.6705882352941173,5.882352941176471
DK,2013,0.4181818181818181,2.303030303030303,0.0,0.3939393939393939,0.0,0.8121212121212118,6.0
DK,2014,0.5545454545454545,0.9090909090909091,0.0,0.0,0.0,0.33939393939393947,6.0
DK,2015,0.36060606060606065,1.0303030303030303,0.0,0.0,0.0,0.3303030303030303,6.0
DK,2016,0.3242424242424242,0.5454545454545454,0.0,0.0,0.0,0.3363636363636365,6.0
EE,2011,0.29666666666666663,1.1,0.0,0.5666666666666667,0.0,0.3299999999999999,5.2
EE,2012,0.3,1.0,0.0,0.5862068965517241,0.0,0.3310344827586206,5.344827586206897
EE,2013,0.2999999999999999,1.0,0.0,0.5769230769230769,0.0,0.34230769230769226,5.730769230769231
EE,2014,0.2999999999999999,0.72,0.0,0.52,0.0,0.35600000000000004,5.84
EE,2015,0.1625,2.8333333333333335,0.0,0.4166666666666667,0.0,0.6208333333333335,5.916666666666667
EE,2016,0.20454545454545456,2.6818181818181817,0.0,0.3181818181818182,0.0,0.6090909090909092,6.0
ES,2011,0.30000000000000043,1.2337662337662338,0.0,0.24675324675324675,0.0,0.5792207792207799,6.0
ES,2012,0.2962500000000004,0.65,0.0,0.1875,0.0,0.5662500000000007,5.9625
ES,2013,0.30000000000000043,0.675,0.0,0.2125,0.0,0.5787500000000007,5.9625
ES,2014,0.19999999999999968,0.8024691358024691,0.0,0.2222222222222222,0.0,0.5765432098765437,5.925925925925926
ES,2015,0.20121951219512166,0.7317073170731707,0.0,0.17073170731707318,0.0,0.5829268292682933,5.878048780487805
ES,2016,0.2024390243902436,0.6341463414634146,0.0,0.13414634146341464,0.0,0.5817073170731714,5.878048780487805
FI,2011,0.02045454545454545,1.1363636363636365,0.0,0.20454545454545456,0.0,0.8568181818181813,5.590909090909091
FI,2012,0.02045454545454545,1.1136363636363635,0.0,0.2727272727272727,0.0,0.8431818181818176,5.590909090909091
FI,2013,0.021428571428571425,2.857142857142857,0.0,0.19047619047619047,0.0,0.8523809523809518,5.809523809523809
FI,2014,0.02195121951219512,2.8536585365853657,0.0,0.1951219512195122,0.0,0.8560975609756093,5.878048780487805
FI,2015,0.9292682926829269,3.731707317073171,0.0,0.1951219512195122,0.0,0.8463414634146337,5.878048780487805
FI,2016,0.924390243902439,3.7560975609756095,0.0,0.1951219512195122,0.0,0.8414634146341459,5.878048780487805
FR,2011,0.43147058823529233,0.49411764705882355,0.041176470588235294,0.22941176470588234,0.0,0.25382352941176534,6.708823529411765
FR,2012,0.3451612903225805,0.7771260997067448,0.04105571847507331,0.24633431085043989,0.0,0.39120234604105625,6.706744868035191
FR,2013,0.3243902439024385,0.6991869918699187,0.03523035230352303,0.22493224932249323,0.0,0.3715447154471539,6.650406504065041
FR,2014,0.324734042553191,0.6382978723404256,0.03723404255319149,0.21808510638297873,0.0,0.3651595744680848,6.611702127659575
FR,2015,0.5783068783068759,0.26455026455026454,0.037037037037037035,0.0,0.0,0.24894179894179974,6.574074074074074
FR,2016,0.5789333333333309,0.26666666666666666,0.037333333333333336,0.0,0.0,0.24506666666666738,6.562666666666667
FR,2017,0.5846560846560862,0.25925925925925924,0.037037037037037035,0.013227513227513227,0.0,0.1291005291005295,6.4523809523809526
GR,2011,0.3140000000000003,0.68,0.0,0.16,0.0,0.3440000000000001,5.46
GR,2012,0.3120000000000003,0.68,0.0,0.18,0.0,0.34800000000000003,5.46
GR,2013,0.31489361702127683,0.8085106382978723,0.0,0.2553191489361702,0.0,0.34255319148936164,5.829787234042553
GR,2014,0.426530612244898,0.5102040816326531,0.0,0.061224489795918366,0.0,0.336734693877551,5.673469387755102
GR,2015,0.3042553191489364,0.6382978723404256,0.0,0.44680851063829785,0.0,0.34255319148936175,5.829787234042553
GR,2016,0.2808510638297872,0.2553191489361702,0.0,0.5531914893617021,0.0,0.4425531914893618,5.829787234042553
HR,2011,0.30000000000000004,1.21875,0.0,0.0625,0.0,0.3718750000000002,5.6875
HR,2012,0.30000000000000004,1.2424242424242424,0.0,0.0,0.0,0.37878787878787906,5.787878787878788
HR,2013,0.2861111111111112,3.0833333333333335,0.0,0.6388888888888888,0.0,0.402777777777778,5.694444444444445
HR,2014,0.30000000000000016,2.6486486486486487,0.0,0.35135135135135137,0.0,0.4513513513513514,5.621621621621622
HR,2015,0.30000000000000016,2.27027027027027,0.0,0.5675675675675675,0.0,0.46756756756756757,5.621621621621622
HR,2016,0.30000000000000016,0.6486486486486487,0.0,0.6486486486486487,0.0,0.4540540540540541,5.513513513513513
HU,2011,0.9653846153846154,1.4038461538461537,0.0,0.40384615384615385,0.0,0.8980769230769226,5.865384615384615
HU,2012,0.7,0.17307692307692307,0.0,0.0,0.0,0.17115384615384616,5.865384615384615
HU,2013,0.9692307692307693,3.230769230769231,0.0,0.8269230769230769,0.0,0.944230769230769,5.865384615384615
HU,2014,1.0,3.269230769230769,0.0,0.8461538461538461,0.0,0.8634615384615382,5.865384615384615
HU,2015,0.08800000000000002,3.08,0.0,0.82,0.0,0.7260000000000001,5.94
HU,2016,0.20566037735849046,1.6226415094339623,0.0,0.7169811320754716,0.0,0.5490566037735849,5.433962264150943
IE,2011,0.7888888888888889,3.4814814814814814,0.0,0.5185185185185185,0.0,0.9666666666666666,5.925925925925926
IE,2012,0.6481481481481481,3.4074074074074074,0.0,0.4074074074074074,0.0,0.9518518518518518,5.925925925925926
IE,2013,0.7962962962962963,3.2222222222222223,0.0,0.7777777777777778,0.0,0.9592592592592593,5.925925925925926
IE,2014,0.7370370370370369,3.259259259259259,0.0,0.4444444444444444,0.0,0.9296296296296297,5.925925925925926
IE,2015,0.9740740740740741,3.4444444444444446,0.0,0.7037037037037037,0.0,0.9777777777777777,5.925925925925926
IE,2016,0.932,3.2,0.0,0.56,0.0,0.968,6.0
IS,2011,0.39999999999999997,2.142857142857143,3.0,0.42857142857142855,0.0,0.3571428571428571,6.0
IS,2012,0.41428571428571426,1.1428571428571428,3.0,0.7142857142857143,0.0,0.3571428571428571,6.0
IS,2013,0.5,1.0,0.0,0.7142857142857143,0.0,0.3714285714285714,6.0
IS,2014,0.4571428571428572,0.5714285714285714,0.0,1.0,0.0,0.39999999999999997,6.0
IS,2015,0.6,0.5714285714285714,0.0,0.0,0.0,0.39999999999999997,6.0
IS,2016,0.6,0.5714285714285714,0.0,0.0,0.0,0.39999999999999997,6.0
IT,2011,0.16306818181818208,1.4090909090909092,0.0,0.5681818181818182,0.0,0.5454545454545466,5.982954545454546
IT,2012,0.15965909090909117,2.1704545454545454,0.0,0.3181818181818182,0.0,0.5482954545454557,5.982954545454546
IT,2013,0.1522727272727275,2.096590909090909,0.0,0.2784090909090909,0.0,0.5659090909090924,5.982954545454546
IT,2014,0.1790697674418604,2.125581395348837,0.0,0.4372093023255814,0.0,0.5232558139534902,5.441860465116279
IT,2015,0.1809302325581395,1.9395348837209303,0.0,0.5534883720930233,0.0,0.5288372093023277,5.441860465116279
IT,2016,0.3578703703703707,0.48148148148148145,0.0,0.19907407407407407,0.0,0.3666666666666668,5.421296296296297
LI,2011,1.0,0.0,0.0,2.0,0.0,1.0,6.0
LI,2012,1.0,0.0,0.0,2.0,0.0,1.0,6.0
LI,2013,1.0,0.0,0.0,0.0,0.0,1.0,6.0
LI,2014,1.0,0.0,0.0,0.0,0.0,1.0,6.0
LI,2015,1.0,0.0,0.0,0.0,0.0,1.0,6.0
LI,2016,1.0,0.0,0.0,0.0,0.0,1.0,6.0
LT,2011,0.9325581395348838,3.2093023255813953,1.9767441860465116,0.27906976744186046,0.0,0.8674418604651161,5.930232558139535
LT,2012,0.9534883720930233,2.7674418604651163,2.3488372093023258,0.4418604651162791,0.0,0.8813953488372094,5.930232558139535
LT,2013,0.9704545454545456,2.25,2.8181818181818183,0.29545454545454547,0.0,0.8568181818181817,5.886363636363637
LT,2014,1.0,2.5348837209302326,2.7674418604651163,0.2558139534883721,0.0,0.8999999999999999,5.953488372093023
LT,2015,1.0,2.0232558139534884,7.744186046511628,0.16279069767441862,0.0,0.7604651162790699,5.953488372093023
LT,2016,1.0,2.0,7.744186046511628,0.23255813953488372,0.0,0.7558139534883721,5.953488372093023
LU,2011,1.0,1.0,0.0,0.0,0.0,0.9,6.0
LU,2012,0.5,0.0,0.0,0.0,0.0,0.4,6.0
LU,2013,0.1,0.0,0.0,0.0,0.0,0.8,6.0
LU,2014,0.1,0.0,0.0,0.0,0.0,1.0,6.0
LU,2015,0.2,0.5,0.0,0.0,0.0,0.6,4.0
LU,2016,0.3,0.5,0.0,0.0,0.0,0.6,4.0
LV,2011,0.1183673469387754,2.2653061224489797,10.408163265306122,0.4897959183673469,0.0,0.31632653061224486,5.612244897959184
LV,2012,0.1183673469387754,2.163265306122449,10.408163265306122,0.5510204081632653,0.0,0.3183673469387755,5.612244897959184
LV,2013,0.24565217391304345,1.9782608695652173,4.130434782608695,0.5869565217391305,0.0,0.3391304347826088,5.804347826086956
LV,2014,0.11999999999999991,2.511111111111111,4.0,0.5555555555555556,0.0,0.6022222222222224,5.822222222222222
LV,2015,0.12045454545454537,2.2045454545454546,4.090909090909091,0.6590909090909091,0.0,0.6136363636363638,5.840909090909091
LV,2016,0.10227272727272728,2.1818181818181817,4.068181818181818,0.5909090909090909,0.0,0.6045454545454547,5.840909090909091
ME,2011,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,6.0
ME,2012,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,5.9
ME,2013,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,5.9
ME,2014,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,5.9
ME,2015,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,5.9
ME,2016,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,5.9
MK,2011,0.35,2.5,0.0,0.5,0.0,0.19999999999999998,6.0
MK,2012,0.35,2.2,0.0,0.0,0.0,0.19999999999999998,6.0
MK,2013,0.35,1.6,0.0,0.0,0.0,0.24000000000000005,6.0
MK,2014,0.43076923076923074,0.6153846153846154,0.0,0.15384615384615385,0.0,0.2615384615384616,5.3076923076923075
MK,2015,0.5428571428571429,0.5714285714285714,0.0,0.14285714285714285,0.0,0.2428571428571429,5.071428571428571
MK,2016,0.4687500000000001,0.4375,0.0,0.0625,0.0,0.29375000000000007,4.5625
MT,2011,1.0,2.0,0.0,0.0,0.0,1.0,6.0
MT,2012,1.0,3.0,0.0,0.0,0.0,1.0,6.0
MT,2013,1.0,2.5,0.0,0.0,0.0,1.0,5.0
MT,2014,1.0,2.5,0.0,0.5,0.0,1.0,5.0
MT,2015,1.0,2.5,0.0,0.0,0.0,1.0,5.0
MT,2016,1.0,4.0,0.0,0.0,0.0,1.0,5.0
NL,2011,0.028070175438596492,2.2982456140350878,0.0,0.07017543859649122,0.0,0.921052631578947,5.666666666666667
NL,2012,0.021818181818181816,2.090909090909091,0.0,0.09090909090909091,0.0,0.9399999999999998,5.909090909090909
NL,2013,0.019642857142857146,2.0357142857142856,0.0,0.125,0.0,0.9339285714285712,5.910714285714286
NL,2014,0.014285714285714287,2.017857142857143,0.0,0.19642857142857142,0.0,0.9446428571428569,5.910714285714286
NL,2015,0.01607142857142857,1.9642857142857142,0.0,0.14285714285714285,0.0,0.9499999999999996,5.910714285714286
NL,2016,0.012499999999999999,1.8392857142857142,0.0,0.17857142857142858,0.0,0.9410714285714282,5.910714285714286
NO,2011,0.862,1.74,0.0,0.68,0.0,0.8779999999999998,5.46
NO,2012,0.8360000000000001,1.26,0.0,0.38,0.0,0.8959999999999995,5.46
NO,2013,0.932,1.44,0.0,0.62,0.0,0.9379999999999997,5.46
NO,2014,0.8854166666666666,2.4791666666666665,0.0,0.3958333333333333,0.0,0.9437499999999998,5.5625
NO,2015,0.9895833333333334,2.4583333333333335,0.0,0.4166666666666667,0.0,0.9541666666666667,5.5625
NO,2016,0.962162162162162,2.891891891891892,0.0,0.2702702702702703,0.0,0.9378378378378377,5.621621621621622
PL,2011,0.2031468531468525,1.7377622377622377,0.0,0.6363636363636364,0.0,0.6202797202797211,5.608391608391608
PL,2012,0.21911764705882297,1.3713235294117647,0.0,0.6029411764705882,0.0,0.6371323529411771,5.908088235294118
PL,2013,0.22071428571428506,1.3964285714285714,0.0,0.5321428571428571,0.0,0.6321428571428579,5.860714285714286
PL,2014,0.22234042553191422,2.0886524822695036,0.0,0.3475177304964539,0.0,0.6744680851063828,5.843971631205674
PL,2015,0.22099644128113813,2.1565836298932384,0.0,0.298932384341637,0.0,0.6765124555160139,5.850533807829182
PL,2016,0.23138686131386804,1.602189781021898,0.0,0.32116788321167883,0.0,0.5784671532846719,5.872262773722627
PT,2011,0.4265486725663736,1.7168141592920354,0.0,0.7522123893805309,0.0,0.6327433628318585,5.017699115044247
PT,2012,0.4641509433962283,0.36792452830188677,0.0,0.6037735849056604,0.0,0.6613207547169813,5.264150943396227
PT,2013,0.4893617021276614,0.4787234042553192,0.0,0.5957446808510638,0.0,0.6776595744680851,5.670212765957447
PT,2014,0.5010989010989029,0.4945054945054945,0.0,0.38461538461538464,0.0,0.6923076923076924,5.791208791208791
PT,2015,0.502222222222224,0.9888888888888889,0.0,0.6888888888888889,0.0,0.6955555555555557,5.766666666666667
PT,2016,0.4843750000000018,0.8229166666666666,0.0,0.5416666666666666,0.0,0.6812500000000004,5.604166666666667
RO,2011,0.7056603773584916,0.3113207547169811,0.0,0.0,0.0,0.11037735849056594,5.537735849056604
RO,2012,0.7037735849056616,0.27358490566037735,0.0,0.0,0.0,0.11792452830188667,5.613207547169812
RO,2013,0.7000000000000013,0.26,0.0,0.0,0.0,0.1279999999999999,5.83
RO,2014,0.7000000000000012,0.13541666666666666,0.0,0.0,0.0,0.14479166666666649,5.947916666666667
RO,2015,0.7000000000000012,0.125,0.0,0.0,0.0,0.14583333333333315,5.947916666666667
RO,2016,0.7999999999999985,0.0,0.0,0.0,0.0,0.0,5.925531914893617
RS,2011,0.6641025641025636,0.0,0.0,0.0,0.0,0.0717948717948718,6.0
RS,2012,0.6624999999999995,0.0,0.0,0.0,0.0,0.07500000000000001,5.975
RS,2013,0.5124999999999997,0.45,0.0,0.25,0.0,0.15000000000000002,5.975
RS,2014,0.517073170731707,0.2682926829268293,0.0,0.3170731707317073,0.0,0.14634146341463417,5.902439024390244
RS,2015,0.5652173913043476,0.15217391304347827,0.0,0.17391304347826086,0.0,0.1043478260869565,5.478260869565218
RS,2016,0.30000000000000027,0.2608695652173913,0.0,0.2608695652173913,0.0,0.30000000000000027,5.478260869565218
SE,2011,1.0,2.8974358974358974,0.0,0.7692307692307693,0.0,0.9717948717948716,5.769230769230769
SE,2012,1.0,2.4871794871794872,0.0,0.5384615384615384,0.0,0.9692307692307691,5.769230769230769
SE,2013,0.9775,2.375,0.0,0.75,0.0,0.95,5.725
SE,2014,1.0,4.027027027027027,0.0,1.0810810810810811,0.0,0.9864864864864865,5.945945945945946
SE,2015,1.0,4.108108108108108,0.0,0.6756756756756757,0.0,0.981081081081081,5.945945945945946
SE,2016,1.0,4.027027027027027,0.0,0.7297297297297297,0.0,0.9891891891891891,5.945945945945946
SI,2011,0.6999999999999995,1.1538461538461537,0.0,0.0,0.0,0.05897435897435898,6.0
SI,2012,0.6999999999999995,1.0731707317073171,0.0,0.0,0.0,0.06829268292682929,5.951219512195122
SI,2013,0.6999999999999995,0.8181818181818182,0.0,0.0,0.0,0.08181818181818186,5.818181818181818
SI,2014,0.31875000000000026,1.8958333333333333,0.0,0.0,0.0,0.29791666666666655,5.583333333333333
SI,2015,0.3080000000000003,2.78,0.0,0.0,0.0,0.3019999999999999,5.44
SI,2016,0.3153846153846157,1.1346153846153846,0.0,0.019230769230769232,0.0,0.3230769230769231,5.269230769230769
SK,2011,0.7375000000000002,1.96875,0.0,0.40625,0.0,0.6749999999999998,6.0
SK,2012,0.7375000000000002,1.90625,0.0,0.0625,0.0,0.6812499999999998,6.0
SK,2013,0.7187500000000002,1.71875,0.0,0.0,0.0,0.7874999999999998,6.0
SK,2014,0.7218750000000002,1.53125,0.0,0.25,0.0,0.7906249999999998,6.0
SK,2015,0.7218750000000002,1.46875,0.0,0.3125,0.0,0.7968749999999998,6.0
SK,2016,0.7187500000000002,1.75,0.0,0.34375,0.0,0.7937499999999997,6.0
TR,2011,0.700000000000002,0.655367231638418,0.0,0.0,0.0,0.1276836158192088,5.903954802259887
TR,2012,0.700000000000002,0.6243093922651933,0.0,0.0,0.0,0.1298342541436462,5.878453038674033
TR,2013,0.264893617021276,3.8617021276595747,0.0,0.44148936170212766,0.0,0.44521276595744824,5.797872340425532
TR,2014,0.256613756613756,3.5396825396825395,0.0,0.5132275132275133,0.0,0.46613756613756807,5.783068783068783
TR,2015,0.3246153846153839,2.348717948717949,0.0,0.7589743589743589,0.0,0.35999999999999943,5.666666666666667
TR,2016,0.3111111111111104,2.3333333333333335,0.0,0.37777777777777777,0.0,0.3533333333333328,5.638888888888889
UK,2011,0.9833333333333333,2.6666666666666665,0.0,0.0,0.0,0.9617283950617288,5.845679012345679
UK,2012,0.9894409937888198,2.409937888198758,0.0,0.0,0.0,0.9583850931677025,5.900621118012422
UK,2013,0.9843749999999998,2.35625,0.0,0.0,0.0,0.9612500000000008,5.95
UK,2014,0.9832298136645962,2.2111801242236027,0.0,0.0,0.0,0.9627329192546589,5.931677018633541
UK,2015,0.7375968992248102,3.612403100775194,0.0,0.0,0.0,0.6798449612403066,4.445736434108527
UK,2016,0.7426923076923116,3.496153846153846,0.0,0.0,0.0,0.679615384615381,4.4192307692307695
