country_code,reference_year,total_current_revenues(PPP),total_academic_staff(FTE),total_staff_(FTE),total_students_enrolled_ISCED_5-7,total_graduates_ISCED_5-7,total_students_enrolled_at_ISCED_8,total_graduates_at_ISCED_8,erasmus_total_incoming_students,erasmus_total_outgoing_students,total_core_budget(PPP),student_fees_funding(PPP),total_third_party_funding(PPP),share_of_women_students_ISCED_5-7
AL,2011,0.0,0.0,0.0,3828.5945945945946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4084310514783783
AL,2012,0.0,0.0,0.0,4022.9189189189187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41586365450270274
AL,2013,0.0,0.0,0.0,4303.263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42800658849999995
AL,2014,0.0,0.0,0.0,4303.263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42160368725526326
AL,2015,0.0,0.0,0.0,3588.825,0.0,63.3,0.0,0.0,0.0,0.0,0.0,0.0,0.41439686626750005
AL,2016,0.0,0.0,0.0,3447.55,0.0,42.275,0.0,0.0,0.0,0.0,0.0,0.0,0.1499845323655
AT,2011,46431805.19779412,433.6069647058825,632.2910955882353,4611.249114376471,733.6784313699999,382.1457782694118,35.26960784264706,70.54411764705883,82.04411764705883,34738740.46425,769701.9615705883,6908072.958214707,0.5741679786775
AT,2012,48260728.977352925,436.40874558823526,637.0034485294117,4747.229374883826,797.0305306308824,374.4517709019118,32.72122762205883,73.04411764705883,83.61764705882354,36579695.19489706,505187.8314626471,7929388.909319119,0.5769068451569117
AT,2013,50612884.829705894,439.9622676470589,643.3509073529411,4814.822986574999,765.6432709622059,361.41789759720587,32.453765597058826,74.67647058823529,84.88235294117646,38457280.595191166,840667.4802455882,7659773.112060295,0.5752820220192647
AT,2014,50911419.09289854,442.27422499999994,668.8523163043479,4823.52400571638,784.8384230700002,348.6412886776812,31.718196457971015,90.5072463768116,107.69565217391305,38247943.19410145,902613.7984942028,7923134.4906840585,0.5762737925415942
AT,2015,53776322.36724639,457.1174855072464,667.3391637681159,4911.5384519942045,814.0771513772463,340.6939275960869,32.44735118304347,97.40579710144928,115.43478260869566,40224152.34550726,943344.2013362319,8812199.72674348,0.5754073039049274
AT,2016,53558078.72884059,460.5007550724638,674.2053144927537,4925.482833798552,811.9354727362318,331.3753149491304,38.07729468550725,99.6231884057971,121.55072463768116,40379109.7963768,901830.0127913045,8873516.21135942,0.5650903084685507
BE,2011,34233658.39311595,314.93239275362316,448.72542028985515,3174.1159420289855,818.4347826086956,144.82608695652175,24.17391304347826,86.3768115942029,95.95652173913044,17280837.00489421,14601028.60726087,934217.5098391302,0.21404780720507252
BE,2012,36290359.75691304,323.9700376811594,460.95468840579724,3259.8985507246375,840.5942028985507,161.5072463768116,24.304347826086957,89.18840579710145,107.66666666666667,19779893.743289854,1563968.5543,0.0,0.21395223612608688
BE,2013,40022769.4056875,360.96624999999995,512.8382812500001,3605.4375,915.625,173.859375,26.9375,93.78125,112.5625,19476484.28838828,17832261.200015623,1022018.4034343748,0.19582367052343752
BE,2014,42892247.2490625,365.9046875000001,519.2184374999999,3649.40625,933.328125,181.65625,31.03125,113.765625,139.90625,25755422.060812496,1988059.3187562507,12495469.256240627,0.195555877471875
BE,2015,45940925.285317466,371.1873995222223,528.8166411507935,3749.2063492063494,972.4444444444445,203.4920634920635,31.047619047619047,127.68253968253968,149.11111111111111,26730523.64430159,2641586.5306761903,14685804.76184127,0.18866524646349203
BE,2016,46079864.44896773,380.023870967742,544.2570967741933,3720.4193548387098,997.016129032258,197.69354838709677,32.96774193548387,115.79032258064517,148.53225806451613,26626374.761403225,2910007.0664177416,14348345.698467743,0.19208040528870968
BG,2011,0.0,334.5903219782692,521.436475815,5165.942307692308,1173.4038461538462,85.25,10.634615384615385,10.615384615384615,35.55769230769231,0.0,0.0,0.0,0.4554519314961538
BG,2012,0.0,341.0131535190385,528.8837090969232,5135.596153846154,1215.25,97.28846153846153,17.53846153846154,12.788461538461538,37.53846153846154,0.0,0.0,0.0,0.45683974283846146
BG,2013,0.0,334.39807443884615,522.2442283146154,5111.153846153846,1152.5,109.92307692307692,21.615384615384617,12.98076923076923,32.5,0.0,0.0,0.0,0.45413276652115386
BG,2014,0.0,338.77576850019227,536.3815377398078,5020.25,1139.8076923076924,119.36538461538461,24.346153846153847,25.903846153846153,54.76923076923077,0.0,0.0,0.0,0.4533158095461538
BG,2015,0.0,331.21420701519224,524.887283946923,4777.4807692307695,1097.7884615384614,121.96153846153847,25.26923076923077,31.826923076923077,64.73076923076923,0.0,0.0,0.0,0.45884963823846153
BG,2016,0.0,322.8916127196153,518.343535808077,4463.057692307692,1032.2884615384614,121.92307692307692,26.403846153846153,38.0,67.1923076923077,0.0,0.0,0.0,0.44438997650192297
CH,2011,156922266.0819394,1061.2690549887884,1562.9266097242423,5800.272727272727,1400.909090909091,667.030303030303,105.6969696969697,69.36363636363636,71.42424242424242,118516480.06809087,7664280.404630302,30741505.60080151,0.5531543342575755
CH,2012,158415844.50971428,1058.9331428571427,1551.475714285714,5698.628571428571,1393.4,649.0285714285715,103.97142857142858,69.31428571428572,68.54285714285714,118159978.69025715,8238852.490220004,32017013.33219224,0.5873048539742857
CH,2013,163656976.20788568,1063.0751428571432,1555.9528571428568,5877.828571428571,1448.9714285714285,663.9142857142857,104.02857142857142,67.82857142857142,70.57142857142857,121867083.63785714,8648852.899162857,33141039.672854852,0.587301427462857
CH,2014,172274071.4357429,1089.3600000000001,1601.4665714285716,5988.542857142857,1535.1142857142856,677.0571428571428,110.02857142857142,0.0,0.0,128002569.61125715,9258266.384671431,35013235.43951628,0.5731142374999999
CH,2015,187020823.3782857,1132.042857142857,1660.7740000000003,6120.142857142857,1571.5428571428572,696.9714285714285,110.11428571428571,0.02857142857142857,0.0,138815832.77617142,10060655.899162855,38144334.70609143,0.5830554743114286
CH,2016,186540558.72891432,1153.3011428571428,1693.4102857142857,6263.342857142857,1600.5428571428572,709.2857142857143,112.42857142857143,0.0,0.0,138379315.55462852,10229262.720597144,37931980.45748252,0.582986685157143
CY,2011,10430562.45512,66.76,126.24,1163.24,225.12,28.4,1.72,18.16,10.12,5060691.97064,1263601.50472,363111.47196,0.3204784680276
CY,2012,9845666.194459999,72.16,137.16,1175.92,234.72,33.16,2.0,21.04,13.8,3930558.4098,1396546.0654,904521.4531200001,0.33169940381800006
CY,2013,10301728.711480003,71.16,127.08,1241.0,290.4,37.16,2.6,20.6,14.8,4270006.4438,1439564.85648,1055492.05316,0.3417948766463999
CY,2014,10581405.401686955,85.52173913043478,149.1304347826087,1489.7391304347825,323.5217391304348,48.21739130434783,3.260869565217391,30.0,26.47826086956522,4407384.5885217395,1594814.9282608693,832567.5536521738,0.3990652281639132
CY,2015,10216736.32043077,77.65384615384616,138.84615384615384,1380.8076923076924,300.5769230769231,48.92307692307692,3.576923076923077,31.23076923076923,30.5,4201764.534153846,1358185.5160307693,1167124.2514246153,0.34722927764153844
CY,2016,9481569.283415386,78.88461538461539,139.30769230769232,1633.3076923076924,336.0769230769231,51.69230769230769,3.423076923076923,32.15384615384615,25.846153846153847,4013038.2540384624,1446605.5738576923,974539.5626211539,0.3174524882542308
CZ,2011,40649016.873958334,257.9553888888888,453.70513888888877,5196.638888888889,1260.388888888889,357.875,33.708333333333336,69.86111111111111,96.69444444444444,31083526.441158965,0.0,0.0,0.5274613442680557
CZ,2012,35846017.81380282,238.23942253521136,420.7602676056338,5175.718309859155,1304.9295774647887,356.11267605633805,38.12676056338028,77.90140845070422,102.32394366197182,25598102.513586793,0.0,0.0,0.5480314166929577
CZ,2013,40024503.86905714,237.89975714285708,428.0867714285714,5037.071428571428,1295.5714285714287,359.5,34.92857142857143,86.25714285714285,106.71428571428571,28529554.828649748,0.0,0.0,0.5336648476014287
CZ,2014,0.0,237.39126760563374,430.0442816901406,4676.169014084507,1226.0985915492959,347.09859154929575,35.23943661971831,118.94366197183099,142.3661971830986,41490769.15895775,0.0,0.0,0.5628374785676056
CZ,2015,42635589.51007353,330.4654264705883,609.0424705882352,4573.029411764706,1189.0,356.0147058823529,35.911764705882355,146.52941176470588,142.30882352941177,42635589.51007353,0.0,0.0,0.5495970486044119
CZ,2016,41368673.31252239,329.4485373134328,606.0452686567165,4427.074626865671,1121.2686567164178,352.1940298507463,35.44776119402985,155.16417910447763,146.73134328358208,41368673.31252239,0.0,0.0,0.5329400344686567
DE,2011,63178416.09126195,517.6866485013624,1069.7956403269754,6154.283378746594,989.1961852861035,292.3351498637602,70.73841961852861,56.87193460490463,89.06811989100818,43817597.325886175,3298022.6509598847,12981827.875066975,0.44361814077934597
DE,2012,63004501.17230468,520.2321899736148,1062.519788918206,6266.870712401055,1014.0263852242743,289.2532981530343,68.32717678100263,58.992084432717675,89.7071240105541,43587461.358408436,2798874.636852434,13391763.187725969,0.4576642294758047
DE,2013,64029753.489754826,533.4177545691906,1078.6657963446476,6509.391644908616,1061.5874673629244,287.92167101827675,70.30026109660574,59.96344647519582,92.8355091383812,43945132.89709036,2676315.163957061,13991593.541548906,0.4569069255490858
DE,2014,66112855.98854013,536.0077120822622,1075.1953727506427,6619.182519280205,1106.0334190231363,283.38817480719797,70.01028277634961,67.88431876606684,108.60411311053984,45899405.815219045,2503465.3957486255,14284729.002122167,0.45934458786786614
DE,2015,69109610.46573138,539.6717948717949,1086.325641025641,6754.946153846154,1154.202564102564,279.7230769230769,72.54358974358975,74.87179487179488,110.06923076923077,48186578.30676278,2699934.8379323087,14593968.287324172,0.4588458892092304
DE,2016,65148192.65347729,539.7760814249364,1091.4173027989823,6710.839694656489,1148.498727735369,272.58015267175574,71.12468193384224,69.73282442748092,111.44020356234097,47292680.6437865,2701260.5808788445,14225825.946813386,0.44569586463028044
DK,2011,94577438.9335294,495.5882352941176,894.2352941176471,6721.382352941177,1611.5,263.2647058823529,45.588235294117645,161.6764705882353,86.76470588235294,64436496.31167647,3380184.862799411,24183008.51385294,0.4688237516288234
DK,2012,97377997.82967646,525.291506082353,932.9938762058822,8033.85294117647,1847.6764705882354,279.9117647058824,54.8235294117647,155.02941176470588,97.6470588235294,65500826.990617625,3216853.7397794123,25460989.09517647,0.47286779136147045
DK,2013,103707853.7219091,797.7575757575758,1314.969696969697,8638.060606060606,2033.939393939394,293.6666666666667,63.15151515151515,141.6060606060606,100.54545454545455,70016094.96563639,3500097.6358515155,27874678.357575756,0.47596502158545445
DK,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.36363636363637,121.96969696969697,0.0,0.0,0.0,0.0
DK,2015,0.0,0.0,0.0,7951.454545454545,1987.939393939394,284.1212121212121,64.9090909090909,145.96969696969697,122.87878787878788,0.0,0.0,0.0,0.48973238697393934
DK,2016,0.0,0.0,0.0,7801.393939393939,2317.7272727272725,281.6060606060606,65.45454545454545,145.5151515151515,138.42424242424244,0.0,0.0,0.0,0.49381282171484836
EE,2011,0.0,0.0,0.0,2143.2,369.43333333333334,101.7,6.2,31.0,36.06666666666667,0.0,0.0,0.0,0.5423626340300001
EE,2012,0.0,0.0,0.0,2129.7241379310344,366.58620689655174,104.96551724137932,7.931034482758621,36.96551724137931,39.689655172413794,0.0,0.0,0.0,0.5246332832662068
EE,2013,0.0,0.0,0.0,2192.923076923077,383.65384615384613,114.6923076923077,7.923076923076923,42.57692307692308,38.84615384615385,0.0,0.0,0.0,0.5267728131407693
EE,2014,0.0,0.0,0.0,2092.44,411.32,116.12,8.08,68.44,65.04,0.0,0.0,0.0,0.5416828918044001
EE,2015,21193173.031875,0.0,0.0,2010.7916666666667,418.25,118.04166666666667,9.791666666666666,76.91666666666667,60.166666666666664,11090567.47312125,1915696.8001625005,8186908.759383335,0.5345516747770832
EE,2016,20063105.797,0.0,0.0,2052.681818181818,424.04545454545456,119.77272727272727,11.409090909090908,89.54545454545455,64.5909090909091,14051361.54720091,2141976.533259091,3869767.7176727275,0.5187059138681819
ES,2011,0.0,1091.7432034641558,1857.7017316142862,20423.597402597403,3460.948051948052,0.0,123.03896103896103,401.90909090909093,467.16883116883116,0.0,0.0,0.0,0.5194564475662334
ES,2012,0.0,1040.177866687125,1771.8316999899998,19357.1125,3429.125,0.0,131.2125,384.525,446.25,0.0,0.0,0.0,0.5054697459525
ES,2013,0.0,1026.2662999705,1749.5439499845002,19246.3625,3764.45,0.0,136.0,379.45,416.525,0.0,0.0,0.0,0.52469764346
ES,2014,0.0,1004.809958841975,1712.8694156386432,18594.802469135804,3687.567901234568,395.8024691358025,139.64197530864197,431.22222222222223,376.0987654320988,0.0,0.0,0.0,0.5247878901790124
ES,2015,0.0,1101.2807298435368,1807.5602745431706,18204.158536585364,3581.0365853658536,678.390243902439,179.1341463414634,453.1829268292683,465.2560975609756,0.0,0.0,0.0,0.5363926652414635
ES,2016,0.0,1105.4746166898778,1824.4657548540247,18212.134146341465,3633.9146341463415,872.5365853658536,244.5,472.9024390243902,464.8414634146341,0.0,0.0,0.0,0.54162536547439
FI,2011,67056184.378568195,570.2765659704543,971.9372911522731,6560.113636363636,1125.5454545454545,458.97727272727275,42.09090909090909,141.61363636363637,119.81818181818181,0.0,0.0,0.0,0.5165059391347727
FI,2012,68872294.14104545,571.3636363636364,946.8704545454544,6552.818181818182,1169.0227272727273,468.02272727272725,41.61363636363637,147.97727272727272,124.9090909090909,0.0,0.0,0.0,0.518795832985682
FI,2013,70011040.78571428,592.3212452380952,997.40245,6804.190476190476,1267.7619047619048,482.92857142857144,45.45238095238095,158.5952380952381,132.5952380952381,0.0,0.0,0.0,0.5169930017538096
FI,2014,70893805.0304634,596.2590341463415,990.7102902439026,6892.90243902439,1320.5365853658536,484.609756097561,49.36585365853659,205.82926829268294,162.1951219512195,0.0,0.0,0.0,0.5154139325756097
FI,2015,75797932.3102439,583.4831951219513,963.6591365853658,6771.609756097561,1388.8292682926829,476.2682926829268,48.853658536585364,216.26829268292684,171.3170731707317,60881529.30758538,0.0,14916403.001558533,0.5139538963892682
FI,2016,70765751.66487806,577.4628878048779,936.4627999999999,6747.756097560976,1355.658536585366,460.2439024390244,49.02439024390244,225.85365853658536,178.78048780487805,57427090.93792683,0.0,13338660.73147317,0.5133612929363415
FR,2011,0.0,0.0,0.0,4721.732352941176,1965.894117647059,215.95,44.17941176470588,54.555882352941175,64.8970588235294,0.0,0.0,0.0,0.2353547438943824
FR,2012,35467419.341,0.0,0.0,4761.463343108504,2034.574780058651,211.40469208211144,45.18475073313783,53.68035190615836,69.20527859237536,26311182.83908798,839211.5065367194,2310655.3316960135,0.2405418576229911
FR,2013,31143346.105124664,0.0,0.0,4522.672086720867,1916.6124661246613,193.8780487804878,41.111111111111114,48.989159891598916,64.84281842818429,24163054.460362054,792531.9257120275,2142867.297774797,0.279564005521599
FR,2014,26909194.388172876,0.0,0.0,4549.699468085107,1906.9813829787233,187.81648936170214,0.0,50.609042553191486,76.04255319148936,20620631.59219628,651906.7480932229,1887526.318353988,0.27999270135587767
FR,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85978835978836,78.71693121693121,0.0,0.0,0.0,0.0
FR,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.83733333333333,79.744,0.0,0.0,0.0,0.0
FR,2017,0.0,0.0,0.0,4276.2962962962965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22290204435740746
GR,2011,0.0,0.0,0.0,6489.9,1224.02,482.84,34.52,36.06,70.98,0.0,0.0,0.0,0.4297585911299999
GR,2012,0.0,0.0,0.0,6734.2,1226.02,477.74,30.44,29.16,84.3,0.0,0.0,0.0,0.41179119718639995
GR,2013,0.0,0.0,0.0,7194.936170212766,1323.3617021276596,490.7659574468085,33.91489361702128,38.8936170212766,93.02127659574468,0.0,0.0,0.0,0.41318833022127655
GR,2014,0.0,0.0,0.0,13591.551020408164,0.0,472.57142857142856,0.0,57.795918367346935,101.42857142857143,0.0,0.0,0.0,0.37697529228755094
GR,2015,0.0,0.0,0.0,15084.553191489362,1440.3191489361702,503.1914893617021,42.5531914893617,74.51063829787235,119.76595744680851,0.0,0.0,0.0,0.4038892028410638
GR,2016,0.0,364.06382978723406,0.0,14999.340425531915,1425.276595744681,610.1702127659574,39.8936170212766,81.55319148936171,123.42553191489361,0.0,0.0,0.0,0.39634005581702136
HR,2011,0.0,366.55937500000016,0.0,4692.03125,1159.5,101.09375,33.5,9.03125,27.4375,0.0,0.0,0.0,0.4827263184637501
HR,2012,0.0,355.57575757575773,0.0,4812.939393939394,1154.3030303030303,110.06060606060606,40.54545454545455,16.0,33.96969696969697,0.0,0.0,0.0,0.48778790539393935
HR,2013,0.0,324.99722222222215,0.0,4477.694444444444,990.3888888888889,89.41666666666667,23.02777777777778,21.61111111111111,38.72222222222222,0.0,0.0,0.0,0.4731925706572222
HR,2014,0.0,311.1621621621621,0.0,4260.810810810811,920.8378378378378,84.5945945945946,23.10810810810811,44.7027027027027,50.83783783783784,0.0,0.0,0.0,0.4970866231664866
HR,2015,0.0,315.24864864864867,0.0,4252.675675675676,944.1891891891892,85.32432432432432,23.7027027027027,56.54054054054054,53.83783783783784,0.0,0.0,0.0,0.5027470161364864
HR,2016,0.0,318.3675675675676,0.0,4333.540540540541,893.8918918918919,89.48648648648648,17.37837837837838,62.189189189189186,56.16216216216216,0.0,0.0,0.0,0.5063615495108107
HU,2011,61267293.66418461,326.53846153846155,884.5769230769231,6700.75,1157.1153846153845,138.46153846153845,23.673076923076923,61.26923076923077,83.0576923076923,14466893.285001157,1033734.6757619233,24229664.345782153,0.5254093882846154
HU,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.6923076923077,84.07692307692308,0.0,0.0,0.0,0.0
HU,2013,66552774.19916924,340.5923076923076,870.7269230769228,5978.673076923077,1279.826923076923,140.05769230769232,14.73076923076923,78.51923076923077,77.17307692307692,32395231.75025095,1204476.4430496152,7367397.879092223,0.5108584105730769
HU,2014,65376248.99608077,335.3788461538461,900.5230769230772,5679.0192307692305,1349.2884615384614,137.1153846153846,17.76923076923077,103.48076923076923,102.59615384615384,36057477.21528268,0.0,3021479.6065990394,0.48621302264423083
HU,2015,68817528.31021999,354.8280000000001,967.734,5673.4,1332.32,144.68,19.58,118.78,105.28,38791300.67514,0.0,1324244.3493569999,0.48226911302400005
HU,2016,0.0,340.5264150943394,939.9275471698115,5248.7169811320755,1248.8867924528302,138.56603773584905,23.528301886792452,108.60377358490567,103.9622641509434,0.0,0.0,0.0,0.5365692567075472
IE,2011,79252593.72822224,456.907037037037,840.2240740740739,6480.777777777777,2025.2222222222222,326.74074074074076,53.333333333333336,155.2962962962963,99.62962962962963,25850905.104148146,30250021.24907406,23151667.37374815,0.5358863890962964
IE,2012,79100492.40566665,463.644074074074,842.01962962963,6727.333333333333,2119.185185185185,302.1111111111111,56.407407407407405,167.74074074074073,100.03703703703704,24011257.078851853,31600094.249814812,23489141.074716672,0.532374211788889
IE,2013,80823393.26744442,455.7707407407408,838.5581481481485,6851.592592592592,2247.185185185185,292.4074074074074,63.81481481481482,176.62962962962962,108.0,22330500.7871111,33716114.326222226,24776778.15292074,0.5091382075148149
IE,2014,66556986.29977779,472.7481481481482,855.318837037037,7032.148148148148,2399.222222222222,302.1111111111111,64.44444444444444,188.74074074074073,118.74074074074075,17939555.48748149,29838625.55229629,18778805.2607274,0.5120257447296297
